Country,Version,Gender,Age,Marital_Status,Cares_for_Dependents,Institution_Type,Subject_Area,Contract_Duration,Employment_Hours_HE,Avg_Work_Hours_HE,Effort_Comparison,Effort [%],Income EURO,Euro Adj.,Salary/hour,Salary effort/hour,Holds_Leadership_Position,Policy_Influence,Has_Other_Job,Avg_Work_Hours_Other,Academic/Non-academic,Job_Description_Category,Education_Level,Career_Length_HE,Effort_Teaching_Desc,Effort_Research_Desc,Effort_External_Projects_Desc,Effort_Org_Admin_Desc,Teaching %,Research %,Activities related to externally funded research projects %,Organisational and administrative activities %,Vulnerability,Academic_Resources,Performance_Pressure,Perceived_Autonomy,Quality_Leadership,Sense_Community,Job_Satisfaction,WM_Amotivation,WM_Extrinsic_Social,WM_Extrinsic_Material,WM_Introjected_Motivation,WM_Identified_Motivation,WM_Intrinsic_Motivation,Burnout_Score,VB_Subjective_Significance,VB_Professional_Ambition,VB_Tendency_Exertion,VB_Striving_Perfection,VB_Emotional_Distancing,VB_Resignation_Tendency,VB_Offensive_Coping,VB_Mental_Stability,VB_Satisfaction_Work,VB_Satisfaction_Life,VB_Social_Support,Current_Position
2,2,2.0,37.0,1.0,3.0,1.0,8.0,1.0,40,50.0,3.0,125.0,1478.920179970005,1638.643559406765,8.53223180751926,6.825785446015407,1.0,4.0,1.0,,2,,,,34.0,9.0,5.0,5,,,,,3,3,3,4,3,4,4,1,2,2,4,7,7,2,4,4,4,4,2,2,4,3,4,4,5,4.0
2,2,2.0,77.0,1.0,1.0,1.0,8.0,1.0,40,46.0,3.0,115.0,1458.0903182802872,1615.564072654557,8.412059528540114,11.34746772973735,1.0,4.0,1.0,,2,,,,35.0,40.0,10.0,2,,,,,1,4,2,4,5,5,3,1,2,3,5,7,6,3,5,5,5,4,2,2,5,4,4,4,5,6.0
2,2,2.0,55.0,4.0,2.0,1.0,8.0,1.0,40,55.0,3.0,137.5,2916.180636560573,3231.128145309115,16.82411905708023,12.2357229506038,2.0,5.0,1.0,,2,,,,30.0,20.0,10.0,5,,,,,3,4,4,4,3,5,4,1,3,1,5,7,6,3,4,5,5,3,2,2,3,3,5,4,4,6.0
2,2,1.0,34.0,1.0,2.0,1.0,8.0,2.0,40,40.0,1.0,100.0,1999.666722212964,2215.630728211964,11.53653878199787,11.53653878199787,1.0,3.0,1.0,,2,,,,15.0,8.0,2.0,15,37.5,20.0,5.0,37.5,1,4,3,4,4,4,3,1,3,5,5,7,7,3,2,4,5,4,2,1,4,5,4,3,4,4.0
2,2,2.0,50.0,2.0,1.0,1.0,7.0,1.0,40,40.0,1.0,100.0,1583.069488418597,1754.040993167805,9.133093202414981,9.133093202414981,1.0,1.0,5.0,16.0,2,,,,35.0,0.0,0.0,5,87.5,0.0,0.0,12.5,3,2,5,2,1,2,2,1,1,2,6,6,5,3,3,4,4,5,2,3,4,3,4,3,4,2.0
2,2,1.0,67.0,4.0,1.0,1.0,5.0,1.0,40,40.0,1.0,100.0,2499.583402766205,2769.538410264955,14.42067347749734,14.42067347749734,2.0,5.0,1.0,,2,,,,20.0,10.0,5.0,5,50.0,25.0,12.5,12.5,1,4,4,5,4,5,4,1,3,1,4,7,7,4,5,4,5,4,1,2,5,5,5,5,5,6.0
2,2,2.0,43.0,3.0,2.0,1.0,7.0,1.0,40,20.0,2.0,50.0,1458.0903182802872,1615.564072654557,8.412059528540114,16.82411905708023,1.0,3.0,5.0,20.0,2,,,,12.0,2.0,0.0,6,60.0,10.0,0.0,30.0,2,3,4,2,2,2,3,1,2,2,5,7,6,3,2,2,4,4,3,3,4,3,4,5,4,2.0
2,2,2.0,45.0,3.0,2.0,1.0,8.0,1.0,40,40.0,1.0,100.0,2291.284785869022,2538.743542742876,13.21895068770589,13.21895068770589,1.0,4.0,1.0,,2,,,,16.0,16.0,4.0,4,40.0,40.0,10.0,10.0,1,4,5,4,4,3,4,1,4,4,6,7,7,3,3,5,2,4,4,4,4,4,4,4,4,5.0
2,2,1.0,50.0,2.0,3.0,1.0,5.0,2.0,20,20.0,1.0,100.0,1249.791701383103,1384.769205132478,14.42067347749734,14.42067347749734,1.0,1.0,6.0,10.0,2,,,,15.0,10.0,6.0,5,,,,,2,2,2,3,2,3,3,3,3,1,5,6,5,3,2,3,3,3,2,3,4,4,4,4,4,4.0
2,2,1.0,32.0,1.0,2.0,1.0,7.0,2.0,40,70.0,3.0,175.0,2499.583402766205,2769.538410264955,14.42067347749734,8.240384844284193,1.0,3.0,6.0,80.0,2,,,,15.0,40.0,5.0,10,21.42857142857143,57.14285714285714,7.142857142857142,14.28571428571428,3,2,2,4,3,3,2,2,4,3,6,6,6,5,3,4,4,4,2,3,4,3,3,3,2,4.0
2,2,1.0,36.0,1.0,1.0,1.0,5.0,1.0,40,50.0,3.0,125.0,1624.7292117980328,1800.199966672221,9.373437760373271,7.498750208298617,1.0,3.0,7.0,7.0,2,,,,30.0,10.0,5.0,5,60.0,20.0,10.0,10.0,2,4,3,4,4,3,3,2,2,2,4,6,7,4,2,2,4,4,3,2,3,3,4,4,5,4.0
2,2,1.0,44.0,4.0,2.0,1.0,5.0,1.0,40,40.0,1.0,100.0,1499.750041659723,1661.723046158973,8.652404086498404,8.652404086498404,1.0,1.0,1.0,,2,,,,18.0,20.0,1.0,1,45.0,50.0,2.5,2.5,4,2,4,2,2,4,2,5,3,4,1,3,3,4,3,2,3,3,3,2,4,2,4,2,4,4.0
2,2,1.0,41.0,1.0,2.0,1.0,5.0,1.0,40,60.0,3.0,150.0,1499.750041659723,1661.723046158973,8.652404086498404,5.768269390998936,3.0,4.0,7.0,3.0,2,,,,25.0,15.0,15.0,5,41.66666666666667,25.0,25.0,8.333333333333332,3,2,5,4,5,5,2,1,6,5,6,7,7,5,4,3,5,4,2,3,3,2,4,3,3,4.0
2,2,2.0,57.0,1.0,1.0,1.0,7.0,1.0,40,40.0,1.0,100.0,2291.284785869022,2538.743542742876,13.21895068770589,13.21895068770589,1.0,3.0,6.0,22.0,2,,,,20.0,20.0,20.0,10,,,,,3,3,4,2,2,3,2,3,4,3,4,6,6,4,4,4,4,4,2,4,3,4,3,3,4,5.0
2,2,1.0,47.0,2.0,2.0,1.0,4.0,1.0,40,40.0,1.0,100.0,2314.405932344609,2564.361773037826,13.35234191737274,13.35234191737274,1.0,2.0,1.0,,2,,,,15.0,15.0,0.0,10,37.5,37.5,0.0,25.0,2,4,4,4,5,5,3,2,5,4,7,7,7,3,2,2,2,4,4,4,2,4,4,5,4,4.0
2,2,2.0,48.0,1.0,2.0,1.0,5.0,2.0,40,40.0,1.0,100.0,1916.347275454091,2123.312781203133,11.05584966608129,11.05584966608129,2.0,4.0,1.0,,2,,,,20.0,4.0,2.0,14,50.0,10.0,5.0,35.0,2,3,3,4,4,5,3,1,2,2,4,7,7,4,2,2,3,3,2,2,3,4,3,4,5,4.0
2,2,2.0,45.0,1.0,1.0,1.0,5.0,1.0,40,40.0,1.0,100.0,1249.791701383103,1384.769205132478,7.210336738748668,7.210336738748668,1.0,3.0,1.0,,2,,,,10.0,20.0,7.0,3,25.0,50.0,17.5,7.5,3,4,5,2,2,4,3,1,6,6,6,7,6,4,4,3,4,4,2,3,4,4,4,4,5,7.0
2,2,1.0,51.0,1.0,2.0,1.0,5.0,1.0,40,50.0,3.0,125.0,2707.882019663389,3000.333277787036,15.62239626728878,12.49791701383103,2.0,4.0,1.0,,2,,,,6.0,3.0,3.0,38,12.0,6.0,6.0,76.0,3,3,4,3,3,3,2,2,3,4,5,6,6,4,4,4,4,4,2,4,3,3,4,4,2,5.0
2,2,1.0,46.0,1.0,2.0,1.0,5.0,1.0,40,65.0,3.0,162.5,2374.604232627895,2631.061489751708,13.69963980362247,8.430547571459984,2.0,4.0,1.0,,2,,,,17.0,35.0,10.0,10,,,,,1,4,4,4,5,5,4,1,2,2,3,6,7,2,2,3,3,3,2,2,3,3,4,5,5,5.0
2,2,1.0,36.0,2.0,2.0,1.0,5.0,2.0,40,40.0,1.0,100.0,1249.791701383103,1384.769205132478,7.210336738748668,7.210336738748668,1.0,1.0,5.0,30.0,2,,,,30.0,0.0,0.0,4,88.23529411764706,0.0,0.0,10.0,3,3,2,5,4,5,3,1,1,1,2,7,6,2,5,5,4,3,2,3,2,3,5,4,2,2.0
2,2,2.0,37.0,1.0,2.0,1.0,5.0,1.0,40,40.0,1.0,100.0,1249.791701383103,1384.769205132478,7.210336738748668,7.210336738748668,1.0,4.0,1.0,,2,,,,20.0,15.0,0.0,0,57.14285714285714,37.5,0.0,0.0,4,2,4,4,3,5,2,1,2,2,4,7,7,4,2,3,3,3,2,3,3,2,3,3,2,3.0
2,2,2.0,56.0,3.0,1.0,1.0,5.0,1.0,40,50.0,3.0,125.0,1874.687552074654,2077.153807698717,10.815505108123,8.652404086498404,2.0,4.0,1.0,,2,,,,18.0,19.0,3.0,10,36.0,38.0,6.0,20.0,1,3,4,4,3,2,3,1,1,1,3,6,6,3,3,3,3,3,3,2,4,4,4,4,3,6.0
2,2,1.0,45.0,1.0,3.0,1.0,2.0,1.0,40,70.0,3.0,175.0,3541.076487252124,3923.512747875354,20.42928742645456,11.67387852940261,3.0,4.0,1.0,,2,,,,10.0,40.0,10.0,10,14.28571428571428,57.14285714285714,14.28571428571428,14.28571428571428,1,4,5,4,3,4,4,1,5,5,4,6,5,3,2,3,4,4,3,2,4,3,4,4,4,5.0
2,2,2.0,41.0,1.0,2.0,1.0,5.0,2.0,20,25.0,3.0,125.0,833.1944675887353,923.1794700883186,9.613782318331559,7.691025854665247,1.0,2.0,5.0,20.0,2,,,,15.0,2.0,2.0,6,60.0,8.0,8.0,24.0,3,4,5,4,3,4,3,1,4,2,5,7,7,4,4,4,4,4,3,2,4,3,3,5,4,4.0
2,2,2.0,45.0,1.0,2.0,1.0,5.0,4.0,4,33.9,3.0,135.0,166.63889351774696,184.63589401766376,9.613782318331559,7.614423237152781,1.0,1.0,2.0,40.0,2,,,,6.0,0.0,0.0,0,,,,,4,2,3,3,3,2,2,2,3,3,5,6,5,4,3,2,2,2,3,3,3,2,3,3,4,8.0
2,2,1.0,66.0,1.0,1.0,1.0,3.0,1.0,50,50.0,1.0,100.0,3561.906348941843,3946.592234627561,16.43956776434696,16.43956776434696,3.0,3.0,2.0,4.0,2,,,,20.0,10.0,4.0,6,50.0,20.0,8.0,12.0,2,4,4,4,4,4,5,1,3,2,3,7,7,2,2,3,4,2,4,2,4,4,4,5,4,5.0
2,2,2.0,50.0,3.0,1.0,1.0,5.0,1.0,40,45.0,3.0,112.5,1749.708381936344,1938.676887185469,10.09447143424814,8.972863497109456,2.0,4.0,2.0,8.0,2,,,,34.0,2.0,1.0,10,,,,,4,2,3,3,4,4,2,2,4,4,5,6,3,2,3,3,3,3,2,4,1,2,4,2,4,5.0
2,2,1.0,52.0,3.0,1.0,1.0,5.0,1.0,40,40.0,1.0,100.0,2499.583402766205,2769.538410264955,14.42067347749734,14.42067347749734,1.0,2.0,1.0,,2,,,,16.0,22.0,0.0,2,40.0,55.00000000000001,0.0,5.0,3,3,3,2,1,3,3,2,6,5,6,6,7,4,3,4,4,5,2,4,3,2,3,2,5,5.0
2,2,2.0,49.0,1.0,2.0,1.0,5.0,1.0,40,40.0,1.0,100.0,1249.791701383103,1384.769205132478,7.210336738748668,7.210336738748668,2.0,2.0,5.0,20.0,2,,,,30.0,5.0,5.0,5,,,,,1,3,5,2,4,4,2,1,1,2,4,7,6,4,2,4,4,4,3,1,4,4,4,4,5,4.0
2,2,1.0,45.0,1.0,2.0,1.0,5.0,1.0,40,60.0,3.0,150.0,1249.791701383103,1384.769205132478,7.210336738748668,4.806891159165778,1.0,3.0,1.0,,2,,,,15.0,20.0,5.0,20,25.0,33.33333333333333,8.333333333333332,33.33333333333333,3,4,4,4,5,5,3,1,5,5,4,6,7,1,4,3,4,2,3,4,4,3,3,4,2,4.0
2,2,1.0,59.0,2.0,1.0,1.0,7.0,1.0,40,25.0,2.0,62.50000000000001,1583.069488418597,1754.040993167805,9.133093202414981,14.61294912386397,1.0,2.0,5.0,25.0,2,,,,25.0,2.0,0.0,1,,,,,4,3,3,3,2,3,2,3,4,3,5,5,5,4,4,3,3,3,2,4,3,4,3,2,3,4.0
2,2,1.0,49.0,1.0,2.0,1.0,5.0,2.0,40,40.0,1.0,100.0,1333.111148141976,1477.08715214131,7.691025854665247,7.691025854665247,1.0,3.0,1.0,,2,,,,18.0,18.0,3.0,1,45.0,45.0,7.5,2.5,2,2,4,4,5,5,3,1,1,2,5,7,7,2,1,2,1,2,3,2,3,4,3,4,4,4.0
2,2,1.0,44.0,2.0,1.0,1.0,5.0,2.0,40,50.0,3.0,125.0,1666.38893517747,1846.358940176637,9.613782318331559,7.691025854665247,1.0,2.0,1.0,,2,,,,20.0,20.0,5.0,5,40.0,40.0,10.0,10.0,4,2,5,3,2,4,2,1,6,6,6,7,6,4,3,4,4,4,3,3,2,3,3,3,4,4.0
2,2,2.0,60.0,1.0,1.0,1.0,5.0,1.0,60,60.0,1.0,100.0,2916.180636560573,3231.128145309115,11.21607937138682,11.21607937138682,2.0,4.0,1.0,,2,,,,20.0,20.0,10.0,10,33.33333333333333,33.33333333333333,16.66666666666666,16.66666666666666,3,4,2,5,4,4,3,1,1,2,4,7,7,3,4,2,4,3,2,3,2,3,4,4,5,6.0
